S.No,Type of Train,Train Number,Train Name ,Day,Arrival,Departure
59,Express Train Passing through Podanur Junction,16331,Mumbai CSTM Trivandrum Express,Tue,18.25,18.30
60,Express Train Passing through Podanur Junction,16332,Trivandrum - MumbaiCSTM Express,Sat,13.30,13.35
61,Express Train Passing through Podanur Junction,12683,Ernakula - Bengaluru Express,"Sun,Wed",21.05,21.10
62,Express Train Passing through Podanur Junction,12684,Bengaluru - Ernakulam Express,"Mon,Tue",45.00,00.50
63,Express Train Passing through Podanur Junction,12685,Chennai - Mangalore Express,"Mon, Wed, Fri, Sat, Sun",24.00,24.05
64,Express Train Passing through Podanur Junction,12686,Mangalore - Chennai Express,"Tue, Wed,Thu, Fri, Sat,Sun",10.00,00.15
65,At Coimbatore Junction (Departure),12674,Coimbatore - Chennai Cheran Express,NA,22.20,NA
66,At Coimbatore Junction (Arrival),12673,Chennai - Coimbatore Cheran Express,NA,NA,06.10
67,At Coimbatore Junction (Departure),12676,Coimbatore - Chennai Covai Express,NA,14.20,NA
68,At Coimbatore Junction (Arrival),12675,Chennai - Coimbatore Covai Express,NA,NA,13.45
69,At Coimbatore Junction (Departure),12680,Coimbatore - Chennai Inter City Express,NA,06.15,NA
70,At Coimbatore Junction (Arrival),12679,Chennai - Coimbatore Inter City Express,NA,NA,22.15
71,At Coimbatore Junction (Departure),12681,Chennai - Coimbatore Express,Fri,23.45,NA
72,At Coimbatore Junction (Arrival),12682,Coimbatore - Chennai  Express,Sat,NA,06.50
73,At Coimbatore Junction (Departure),12647,Coimbatore - Nizamudin Kongu Express,Sun,15.05,NA
74,At Coimbatore Junction (Arrival),12648,Nizamudin - Coimbatore Kongu Express,Wed,NA,14.00
75,At Coimbatore Junction (Departure),16614,Coimbatore - Rajkot Express,"Thu,Tue",23.45,NA
76,At Coimbatore Junction (Arrival),16613,Rajkot - Coimbatore Express,"Sun,Wed",NA,02.00
77,At Coimbatore Junction (Departure),11014,Coimbatore - Lokamanya Tilak Kurla Express,NA,08.30,NA
78,At Coimbatore Junction (Arrival),11013,Coimbatore - Lokamanya Tilak Kurla Express,NA,NA,07.00
79,At Coimbatore Junction (Departure),12084,Coimbatore - Mayiladuthurai Jansha - Habdi Express,Except Tuesday,07.00,NA
80,At Coimbatore Junction (Arrival),12083,Mayiladuthurai - Coimbatore Jansha - Habdi Express,Except Tuesday,NA,21.20
81,At Coimbatore Junction (Departure),12969,Coimbatore - Jaipur ,"Thu, Fri",09.20,NA
82,At Coimbatore Junction (Arrival),12970,Jaipur - Coimbatore,"Thu, Fri",NA,18.00
83,At Coimbatore Junction (Departure),16610,Coimbatore - Nagarcoil,NA,20.30,NA
84,At Coimbatore Junction (Arrival),16609,Coimbatore - Nagarcoil,NA,NA,07.30
85,At Coimbatore Junction (Departure),12244,Coimbatore - Chennai Durantho Express,"Mon, Wed, Thu, Fri, Sat, Sun",15.20,NA
86,At Coimbatore Junction (Arrival),12243,Chennai - Coimbatore Durantho Express,"Tue,Thu, Fri, Sat, Sun, Mon",NA,13.55
87,Passenger Trains at Coimbatore Junction,384/383,Coimbatore - Nagercoil ,Daily,07.10,20.45
88,Passenger Trains at Coimbatore Junction,387/388,Coimbatore - Mangalore,Daily,07.40,19.30
89,Passenger Trains at Coimbatore Junction,611/52110,Coimbatore - Cannanore ,Daily,14.00,13.15
90,Passenger Trains at Coimbatore Junction,633/634,Coimbatore - Trichur,Daily,16.35,10.45
91,Passenger Trains at Coimbatore Junction,52108/52107,Coimbatore - Erode,Daily,18.15,09.20
92,Passenger Trains at Coimbatore Junction,657/658,Coimbatore - Mettupalayam,Except Sun,17.55,09.10
93,Passenger Trains at Coimbatore Junction,66607/66606,Coimbatore - Palghat,Except Sun,03.55,04.00
